unit_number,cycle,RUL_linear,erro_reconstrucao,slope,horizonte,faixa_RUL,trend_score
1,68,124.0,0.009458629,3.111077878787833e-05,10,76-125,22.05817941961754
1,69,123.0,0.009316033,2.918171818181801e-05,10,76-125,20.679184967138944
1,70,122.0,0.009252812,7.88466363636357e-06,10,76-125,5.454925044950953
1,71,121.0,0.009087255,-2.572522727272715e-05,10,76-125,0.0
1,72,120.0,0.009200284,-4.9190663636363096e-05,10,76-125,0.0
1,73,119.0,0.00904317,-5.45669909090912e-05,10,76-125,0.0
1,74,118.0,0.009252697,-5.346574545454528e-05,10,76-125,0.0
1,75,117.0,0.009375279,-3.999886666666615e-05,10,76-125,0.0
1,76,116.0,0.009563458,-1.2084672727272688e-05,10,76-125,0.0
1,77,115.0,0.009630407,2.563347878787876e-05,10,76-125,18.14271595992557
1,78,114.0,0.009994064,7.188467272727285e-05,10,76-125,51.20551329380151
1,79,113.0,0.010096575,0.0001077308545454,10,76-125,76.83025816415054
1,80,112.0,0.0104132155,0.0001471724878787,10,76-125,100.0
1,81,111.0,0.010230175,0.0001515274636363,10,76-125,100.0
1,82,110.0,0.009856665,0.0001291908575757,10,76-125,92.17100227347908
1,83,109.0,0.009891868,9.034401515151504e-05,10,76-125,64.40122664747355
1,84,108.0,0.009762923,4.81450272727273e-05,10,76-125,34.23516032366602
1,85,107.0,0.00998796,2.020836060606021e-05,10,76-125,14.264554821148662
1,86,106.0,0.009914984,-6.589984848484301e-06,10,76-125,0.0
1,87,105.0,0.010180529,-1.870171212121169e-05,10,76-125,0.0
1,88,104.0,0.010115819,-1.6767421212121064e-05,10,76-125,0.0
1,89,103.0,0.00971356,-3.141628181818159e-05,10,76-125,0.0
1,90,102.0,0.010116563,1.6688121212117784e-06,10,76-125,1.011505937279338
1,91,101.0,0.010320208,3.725490303030271e-05,10,76-125,26.450324082685512
1,92,100.0,0.0103460755,4.8259972727272645e-05,10,76-125,34.317329408275235
1,93,99.0,0.010071983,4.072916060606077e-05,10,76-125,28.93390697707504
1,94,98.0,0.010226125,3.082654848484892e-05,10,76-125,21.854996580326482
1,95,97.0,0.010613979,5.146750606060589e-05,10,76-125,36.61024372051143
1,96,96.0,0.010484989,5.261946969696976e-05,10,76-125,37.433728197366264
1,97,95.0,0.010531924,6.712537272727284e-05,10,76-125,47.80331417311915
1,98,94.0,0.010931846,9.487186969696956e-05,10,76-125,67.63797632770446
1,99,93.0,0.011079886,9.39847727272727e-05,10,76-125,67.00383253969726
1,100,92.0,0.011216162,0.0001108362515151,10,76-125,79.0501600067919
1,101,91.0,0.011367087,0.0001361678636363,10,76-125,97.15853486952656
1,102,90.0,0.011475398,0.0001564424060606,10,76-125,100.0
1,103,89.0,0.011552307,0.0001489503939393,10,76-125,100.0
1,104,88.0,0.011141082,0.0001113607393939,10,76-125,79.42509165641725
1,105,87.0,0.010844365,7.23530666666669e-05,10,76-125,51.540346031544324
1,106,86.0,0.01057952,7.507412121212286e-06,10,76-125,5.185245728008592
1,107,85.0,0.0110091325,-3.192166363636354e-05,10,76-125,0.0
1,108,84.0,0.011330914,-3.292189999999938e-05,10,76-125,0.0
1,109,83.0,0.011467204,-2.1455990909090208e-05,10,76-125,0.0
1,110,82.0,0.011323284,-1.344996060606092e-05,10,76-125,0.0
1,111,81.0,0.011579859,1.731428787878784e-05,10,76-125,12.195718713335149
1,112,80.0,0.01147782,4.715445151515095e-05,10,76-125,33.52704443027928
1,113,79.0,0.011566128,8.690932424242438e-05,10,76-125,61.945928097114475
1,114,78.0,0.011616226,0.0001018142878787,10,76-125,72.60078368031778
1,115,77.0,0.011387488,7.870217878787825e-05,10,76-125,56.07902686189732
1,116,76.0,0.011527145,3.8968081818181845e-05,10,76-125,27.674994804366023
1,117,75.0,0.01177682,3.000709090909127e-05,10,31-75,21.26920500516224
1,118,74.0,0.011478256,1.6907587878788146e-05,10,31-75,11.90498806336972
1,119,73.0,0.011604916,1.8016848484847925e-05,10,31-75,12.697946157741614
1,120,72.0,0.0112470295,-1.1658875757575097e-05,10,31-75,0.0
1,121,71.0,0.011303871,-2.0204857575757804e-05,10,31-75,0.0
1,122,70.0,0.011680737,-1.1651803030303014e-05,10,31-75,0.0
1,123,69.0,0.012024212,1.9063851515151555e-05,10,31-75,13.446399247282256
1,124,68.0,0.0122479815,5.977244848484864e-05,10,31-75,42.54705539724462
1,125,67.0,0.011971348,6.248510303030274e-05,10,31-75,44.48620420258552
1,126,66.0,0.012057181,7.2112933333333e-05,10,31-75,51.36868603626874
1,127,65.0,0.01200564,8.914975757575734e-05,10,31-75,63.547508227934735
1,128,64.0,0.0117123965,6.751363939393888e-05,10,31-75,48.080867702403175
1,129,63.0,0.011948472,6.43603000000003e-05,10,31-75,45.82669408164574
1,130,62.0,0.012081068,4.041605454545485e-05,10,31-75,28.71008222047769
1,131,61.0,0.012099798,1.1173321212121811e-05,10,31-75,7.805831252265068
1,132,60.0,0.012505318,1.9526660606060745e-05,10,31-75,13.777239640225556
1,133,59.0,0.012254493,2.7102048484848243e-05,10,31-75,19.192527178317
1,134,58.0,0.012150233,4.111720909090888e-05,10,31-75,29.21130453846692
1,135,57.0,0.012049162,3.2362003030302815e-05,10,31-75,22.95262062259971
1,136,56.0,0.012055646,2.873946969696948e-05,10,31-75,20.36304238182708
1,137,55.0,0.011890466,1.268965757575826e-05,10,31-75,8.889788607973388
1,138,54.0,0.01157387,-3.878254545454567e-05,10,31-75,0.0
1,139,53.0,0.011548996,-7.419403636363785e-05,10,31-75,0.0
1,140,52.0,0.011681147,-8.871542424242367e-05,10,31-75,0.0
1,141,51.0,0.011940454,-8.299659999999937e-05,10,31-75,0.0
1,142,50.0,0.012063854,-4.158075757575731e-05,10,31-75,0.0
1,143,49.0,0.012017601,-1.405839393939383e-05,10,31-75,0.0
1,144,48.0,0.011988545,7.799848484847833e-06,10,31-75,5.394294693027903
1,145,47.0,0.0122397635,3.858270606060592e-05,10,31-75,27.399507849654803
1,146,46.0,0.011625788,3.399793636363609e-05,10,31-75,24.122072211732863
1,147,45.0,0.011445511,1.3778275757575358e-05,10,31-75,9.667990406754082
1,148,44.0,0.01138665,-2.5364990909090485e-05,10,31-75,0.0
1,149,43.0,0.011497995,-5.782382727272506e-05,10,31-75,0.0
1,150,42.0,0.011825779,-6.297527575757626e-05,10,31-75,0.0
1,151,41.0,0.011656701,-6.181514242424302e-05,10,31-75,0.0
1,152,40.0,0.012328786,-1.232973030303103e-05,10,31-75,0.0
1,153,39.0,0.012103082,1.8549724242423332e-05,10,31-75,13.07887390632985
1,154,38.0,0.012160714,4.959954242424289e-05,10,31-75,35.274924610326984
1,155,37.0,0.011922566,8.232047272727323e-05,10,31-75,58.66557455987389
1,156,36.0,0.012011075,8.278228484848487e-05,10,31-75,58.99570226619765
1,157,35.0,0.012010702,6.65351393939395e-05,10,31-75,47.38138419861364
1,158,34.0,0.011908165,3.392019999999969e-05,10,31-75,24.06650215142803
1,159,33.0,0.011979297,6.286793939393456e-06,10,31-75,4.3126833543668965
1,160,32.0,0.012565633,2.6653654545454808e-05,10,31-75,18.871991497371557
1,161,31.0,0.012376935,1.648810303030293e-05,10,31-75,11.605118128157404
1,162,30.0,0.012497516,4.897525454545453e-05,10,0-30,34.82865064729326
1,163,29.0,0.013044313,9.419555151515148e-05,10,0-30,67.15450835479186
1,164,28.0,0.013099898,0.000134881030303,10,0-30,96.23863840680767
1,165,27.0,0.012897991,0.0001372928181818,10,0-30,97.96271182107567
1,166,26.0,0.012889197,0.0001333022,10,0-30,95.11000708107213
1,167,25.0,0.012521633,9.85938666666663e-05,10,0-30,70.29865643139296
1,168,24.0,0.012095857,2.7632484848485168e-05,10,0-30,19.571711119220808
1,169,23.0,0.012013022,-4.5380090909090025e-05,10,0-30,0.0
1,170,22.0,0.011686562,-9.751929696969592e-05,10,0-30,0.0
1,171,21.0,0.011695934,-0.0001510717636363,10,0-30,0.0
1,172,20.0,0.011919116,-0.0001761573757575,10,0-30,0.0
1,173,19.0,0.012042868,-0.0001510288363636,10,0-30,0.0
1,174,18.0,0.012282645,-9.69771575757579e-05,10,0-30,0.0
1,175,17.0,0.01235385,-4.259593939393962e-05,10,0-30,0.0
1,176,16.0,0.012120092,5.044224242424129e-06,10,0-30,3.424428877780931
1,177,15.0,0.012628917,6.525669696969662e-05,10,0-30,46.46748600106312
1,178,14.0,0.012862839,0.0001085430727272,10,0-30,77.41087463798539
1,179,13.0,0.013160906,0.0001532685636363,10,0-30,100.0
1,180,12.0,0.013576027,0.0001849592727272,10,0-30,100.0
1,181,11.0,0.014592714,0.000249827830303,10,0-30,100.0
1,182,10.0,0.015623846,0.0003507062666666,10,0-30,100.0
1,183,9.0,0.016078822,0.000439745890909,10,0-30,100.0
1,184,8.0,0.017639121,0.0005809572121212,10,0-30,100.0
1,185,7.0,0.018172387,0.0006910757878787,10,0-30,100.0
1,186,6.0,0.01848796,0.0007322958484848,10,0-30,100.0
1,187,5.0,0.019302921,0.0007747037151515,10,0-30,100.0
1,188,4.0,0.019855127,0.000781929690909,10,0-30,100.0
1,189,3.0,0.021205299,0.0007979175393939,10,0-30,100.0
1,190,2.0,0.022611434,0.0008207705999999,10,0-30,100.0
1,191,1.0,0.023352735,0.0008423173090909,10,0-30,100.0
1,192,0.0,0.024626328,0.0008958927878787,10,0-30,100.0
5,39,230.0,0.0091761295,-4.635306666666685e-05,10,RUL > 125,0.0
5,40,229.0,0.009335235,-5.642397272727275e-05,10,RUL > 125,0.0
5,41,228.0,0.009405471,-5.343567575757562e-05,10,RUL > 125,0.0
5,42,227.0,0.009597028,-3.535848181818164e-05,10,RUL > 125,0.0
5,43,226.0,0.009552376,-1.339864545454556e-05,10,RUL > 125,0.0
5,44,225.0,0.0095143225,1.1794727272728392e-06,10,RUL > 125,0.6617002818732286
5,45,224.0,0.009578072,1.95637999999999e-05,10,RUL > 125,13.803788841453143
5,46,223.0,0.009573771,4.1689163636363743e-05,10,RUL > 125,29.620167869548553
5,47,222.0,0.009554455,4.353663636363616e-05,10,RUL > 125,30.94083899517855
5,48,221.0,0.00967374,4.096735151515149e-05,10,RUL > 125,29.10417842486421
5,49,220.0,0.00956557,2.343010606060617e-05,10,RUL > 125,16.56762870859401
5,50,219.0,0.009728801,2.0682912121212127e-05,10,RUL > 125,14.603789319408559
5,51,218.0,0.010005209,3.292442121212107e-05,10,RUL > 125,23.354666857053903
5,52,217.0,0.010332384,6.85127545454544e-05,10,RUL > 125,48.7950880057979
5,53,216.0,0.010386903,9.518464545454563e-05,10,RUL > 125,67.86156496624291
5,54,215.0,0.010155927,9.66054666666665e-05,10,RUL > 125,68.87724304464194
5,55,214.0,0.0102131,9.761775757575756e-05,10,RUL > 125,69.60088207575667
5,56,213.0,0.009958716,7.677051515151496e-05,10,RUL > 125,54.69817162581443
5,57,212.0,0.009985817,5.144777575757576e-05,10,RUL > 125,36.59613945735931
5,58,211.0,0.009821955,1.991081212121187e-05,10,RUL > 125,14.051851441762746
5,59,210.0,0.009574606,-3.412579393939412e-05,10,RUL > 125,0.0
5,60,209.0,0.009604983,-7.573293333333291e-05,10,RUL > 125,0.0
5,61,208.0,0.009557159,-0.000100020630303,10,RUL > 125,0.0
5,62,207.0,0.009565367,-9.661804242424186e-05,10,RUL > 125,0.0
5,63,206.0,0.009468809,-8.555047878787955e-05,10,RUL > 125,0.0
5,64,205.0,0.009303221,-8.778497575757595e-05,10,RUL > 125,0.0
5,65,204.0,0.009612279,-5.901439999999949e-05,10,RUL > 125,0.0
5,66,203.0,0.009423045,-5.02419333333338e-05,10,RUL > 125,0.0
5,67,202.0,0.009631012,-2.1826096969697e-05,10,RUL > 125,0.0
5,68,201.0,0.009919704,1.571310909090893e-05,10,RUL > 125,11.051111509717629
5,69,200.0,0.010065919,4.355290909090875e-05,10,RUL > 125,30.952471600481413
5,70,199.0,0.0099934535,6.350986969696976e-05,10,RUL > 125,45.218761564432675
5,71,198.0,0.0101185255,8.23919393939397e-05,10,RUL > 125,58.71666270949479
5,72,197.0,0.009858904,8.0855593939394e-05,10,RUL > 125,57.618401798327234
5,73,196.0,0.01007301,8.100253333333307e-05,10,RUL > 125,57.72344184136994
5,74,195.0,0.01033035,7.682335151515178e-05,10,RUL > 125,54.73594185040738
5,75,194.0,0.010564207,9.355382424242426e-05,10,RUL > 125,66.69576779147573
5,76,193.0,0.010678384,9.235801212121202e-05,10,RUL > 125,65.84093810070407
5,77,192.0,0.0110319145,0.0001090939181818,10,RUL > 125,77.80464807552283
5,78,191.0,0.011160998,0.0001351362393939,10,RUL > 125,96.42107535019223
5,79,190.0,0.011064014,0.0001505902030303,10,RUL > 125,100.0
5,80,189.0,0.010834239,0.000136581830303,10,RUL > 125,97.45446011681894
5,81,188.0,0.010636448,0.0001099316515151,10,RUL > 125,78.40350412786657
5,82,187.0,0.010557518,5.539025151515173e-05,10,RUL > 125,39.414429448689226
5,83,186.0,0.01035494,-4.3951727272723056e-06,10,RUL > 125,0.0
5,84,185.0,0.010298423,-5.3524675757575566e-05,10,RUL > 125,0.0
5,85,184.0,0.010627439,-6.873039090909138e-05,10,RUL > 125,0.0
5,86,183.0,0.010589107,-7.918159090909028e-05,10,RUL > 125,0.0
5,87,182.0,0.010520862,-6.87044e-05,10,RUL > 125,0.0
5,88,181.0,0.010658527,-3.591806666666682e-05,10,RUL > 125,0.0
5,89,180.0,0.010824054,5.5219696969697375e-06,10,RUL > 125,3.765946572686708
5,90,179.0,0.010487576,1.6198933333333227e-05,10,RUL > 125,11.398404349081003
5,91,178.0,0.0104452735,1.5584396969696727e-05,10,RUL > 125,10.959101284346392
5,92,177.0,0.010345547,6.585500000000278e-06,10,RUL > 125,4.526214230071101
5,93,176.0,0.010439764,-8.210142424242243e-06,10,RUL > 125,0.0
5,94,175.0,0.010548535,-2.186879090909081e-05,10,RUL > 125,0.0
5,95,174.0,0.010128689,-3.952539090909087e-05,10,RUL > 125,0.0
5,96,173.0,0.010137264,-5.322427575757605e-05,10,RUL > 125,0.0
5,97,172.0,0.010064649,-6.995676060606071e-05,10,RUL > 125,0.0
5,98,171.0,0.010021391,-7.434125151515179e-05,10,RUL > 125,0.0
5,99,170.0,0.009983689,-6.202422121212109e-05,10,RUL > 125,0.0
5,100,169.0,0.009862864,-6.854326969696918e-05,10,RUL > 125,0.0
5,101,168.0,0.010119416,-5.631647272727356e-05,10,RUL > 125,0.0
5,102,167.0,0.0102482615,-3.976038484848471e-05,10,RUL > 125,0.0
5,103,166.0,0.010410662,-6.885736363636096e-06,10,RUL > 125,0.0
5,104,165.0,0.010171666,2.0556918181818308e-05,10,RUL > 125,14.513722194029416
5,105,164.0,0.009761811,2.222221212121148e-06,10,RUL > 125,1.4071119975128767
5,106,163.0,0.009612557,-1.923493030303027e-05,10,RUL > 125,0.0
5,107,162.0,0.009710925,-3.380746969696953e-05,10,RUL > 125,0.0
5,108,161.0,0.009525638,-5.708287575757454e-05,10,RUL > 125,0.0
5,109,160.0,0.009704982,-6.708022121212003e-05,10,RUL > 125,0.0
5,110,159.0,0.009843626,-7.419189999999942e-05,10,RUL > 125,0.0
5,111,158.0,0.010024391,-5.410701515151487e-05,10,RUL > 125,0.0
5,112,157.0,0.009855683,-3.348286666666694e-05,10,RUL > 125,0.0
5,113,156.0,0.009727857,-4.245818181818312e-06,10,RUL > 125,0.0
5,114,155.0,0.009877941,2.552098787878809e-05,10,RUL > 125,18.06230151410517
5,115,154.0,0.009862273,3.06698121212118e-05,10,RUL > 125,21.742953145673248
5,116,153.0,0.010051532,3.497386666666623e-05,10,RUL > 125,24.8197187603464
5,117,152.0,0.010214613,4.941020606060624e-05,10,RUL > 125,35.139576973095075
5,118,151.0,0.010100977,3.91904424242424e-05,10,RUL > 125,27.833949915078442
5,119,150.0,0.010027314,2.9935157575757717e-05,10,RUL > 125,21.217783257549115
5,120,149.0,0.010107365,3.0382169696969718e-05,10,RUL > 125,21.537331141843406
5,121,148.0,0.010272551,4.869349090909066e-05,10,RUL > 125,34.62723111167301
5,122,147.0,0.010363961,5.773561212121236e-05,10,RUL > 125,41.091017138396225
5,123,146.0,0.01070384,7.06339090909095e-05,10,RUL > 125,50.3114013563702
5,124,145.0,0.010804833,8.721641818181825e-05,10,RUL > 125,62.165455071789886
5,125,144.0,0.010930336,9.836495757575748e-05,10,RUL > 125,70.13502011769006
5,126,143.0,0.011022559,0.000114214890909,10,RUL > 125,81.46538997233921
5,127,142.0,0.01105425,0.0001308954666666,10,RUL > 125,93.38954692293743
5,128,141.0,0.011368556,0.0001469668545454,10,RUL > 125,100.0
5,129,140.0,0.011330164,0.0001406686727272,10,RUL > 125,100.0
5,130,139.0,0.011408697,0.0001281987212121,10,RUL > 125,91.46177077644444
5,131,138.0,0.011139713,9.629559393939394e-05,10,RUL > 125,68.6557296455601
5,132,137.0,0.011034441,5.4233303030302776e-05,10,RUL > 125,38.58738153873862
5,133,136.0,0.010939644,2.1531836363636622e-05,10,RUL > 125,15.21064522492041
5,134,135.0,0.011058826,-7.941575757570331e-07,10,RUL > 125,0.0
5,135,134.0,0.010944502,-2.406784242424252e-05,10,RUL > 125,0.0
5,136,133.0,0.011079037,-3.402676363636376e-05,10,RUL > 125,0.0
5,137,132.0,0.011027106,-4.539013333333287e-05,10,RUL > 125,0.0
5,138,131.0,0.010799531,-4.788393333333354e-05,10,RUL > 125,0.0
5,139,130.0,0.01073627,-4.9490527272728086e-05,10,RUL > 125,0.0
5,140,129.0,0.010944625,-2.729805454545457e-05,10,RUL > 125,0.0
5,141,128.0,0.011192825,-3.874551515151278e-06,10,RUL > 125,0.0
5,142,127.0,0.011000376,1.3898181818179768e-06,10,RUL > 125,0.8120663274036634
5,143,126.0,0.0113047715,1.735068787878803e-05,10,RUL > 125,12.221739356705704
5,144,125.0,0.0113712605,4.0457909090908986e-05,10,76-125,28.740002061156073
5,145,124.0,0.011009629,3.243109090909097e-05,10,76-125,23.00200828895041
5,146,123.0,0.011041094,3.430012727272707e-05,10,76-125,24.338094241272408
5,147,122.0,0.011141166,3.862548484848451e-05,10,76-125,27.430088387655015
5,148,121.0,0.011223348,3.087928484848468e-05,10,76-125,21.89269531963469
5,149,120.0,0.011219332,1.355945454545495e-05,10,76-125,9.511565441851115
5,150,119.0,0.011336362,1.06581151515147e-05,10,76-125,7.4375347367338485
5,151,118.0,0.011090517,6.14538787878777e-06,10,76-125,4.211598830371389
5,152,117.0,0.011157317,-6.313539393939617e-06,10,76-125,0.0
5,153,116.0,0.01083748,-1.782740303030263e-05,10,76-125,0.0
5,154,115.0,0.011034811,-8.481018181818285e-06,10,76-125,0.0
5,155,114.0,0.011093897,-1.594235151515148e-05,10,76-125,0.0
5,156,113.0,0.011056398,-2.4372848484849177e-05,10,76-125,0.0
5,157,112.0,0.010815052,-3.9481709090908383e-05,10,76-125,0.0
5,158,111.0,0.010820016,-4.488810909090894e-05,10,76-125,0.0
5,159,110.0,0.0108623095,-4.336645151515173e-05,10,76-125,0.0
5,160,109.0,0.010972599,-2.369945757575732e-05,10,76-125,0.0
5,161,108.0,0.010909216,-1.947013636363644e-05,10,76-125,0.0
5,162,107.0,0.010771797,-1.6085475757576217e-05,10,76-125,0.0
5,163,106.0,0.011001412,-1.6825857575757558e-05,10,76-125,0.0
5,164,105.0,0.010820273,-1.6278203030303353e-05,10,76-125,0.0
5,165,104.0,0.01101819,1.6044515151515817e-06,10,76-125,0.9654975752629522
5,166,103.0,0.010593688,-5.24982121212157e-06,10,76-125,0.0
5,167,102.0,0.010306251,-3.8263603030302935e-05,10,76-125,0.0
5,168,101.0,0.010448726,-5.700780303030308e-05,10,76-125,0.0
5,169,100.0,0.0106255915,-5.8784742424241786e-05,10,76-125,0.0
5,170,99.0,0.010867125,-3.716518484848482e-05,10,76-125,0.0
5,171,98.0,0.010597583,-3.319497878787961e-05,10,76-125,0.0
5,172,97.0,0.010866642,-1.9932724242424498e-05,10,76-125,0.0
5,173,96.0,0.010776474,2.5693060606059666e-06,10,76-125,1.6552265871200078
5,174,95.0,0.010656246,9.164033333333815e-06,10,76-125,6.369486106043936
5,175,94.0,0.0109051885,4.452011515151485e-05,10,76-125,31.643881599622613
5,176,93.0,0.010810972,4.780669696969695e-05,10,76-125,33.99330394573859
5,177,92.0,0.010367397,5.102066666666643e-06,10,76-125,3.4657776990143088
5,178,91.0,0.010064607,-4.5361212121211175e-05,10,76-125,0.0
5,179,90.0,0.010107024,-7.70638151515146e-05,10,76-125,0.0
5,180,89.0,0.010238662,-7.91982636363633e-05,10,76-125,0.0
5,181,88.0,0.010529073,-7.584384545454509e-05,10,76-125,0.0
5,182,87.0,0.010398492,-6.08443363636371e-05,10,76-125,0.0
5,183,86.0,0.010574349,-3.658928181818204e-05,10,76-125,0.0
5,184,85.0,0.010294584,-3.3159336363636155e-05,10,76-125,0.0
5,185,84.0,0.010228882,-1.233318787878778e-05,10,76-125,0.0
5,186,83.0,0.010255839,1.1879896969696729e-05,10,76-125,8.310928939134325
5,187,82.0,0.010501587,2.6654636363636583e-05,10,76-125,18.872693352887012
5,188,81.0,0.010353076,1.151623030303072e-05,10,76-125,8.050960789710548
5,189,80.0,0.010717326,1.5577212121211763e-05,10,76-125,10.953965175003049
5,190,79.0,0.01069143,1.9603951515151517e-05,10,76-125,13.832491266083425
5,191,78.0,0.010840643,4.564221818181816e-05,10,76-125,32.44602013743551
5,192,77.0,0.010994425,6.758658787878855e-05,10,76-125,48.13301513396048
5,193,76.0,0.011087481,9.910710909090886e-05,10,76-125,70.66554923589254
5,194,75.0,0.011263262,0.0001153449030303,10,31-75,82.2731823463117
5,195,74.0,0.01169245,0.0001388712666666,10,31-75,99.09107020298667
5,196,73.0,0.012056699,0.0001663226727272,10,31-75,100.0
5,197,72.0,0.01213296,0.0001924883636363,10,31-75,100.0
5,198,71.0,0.0119246645,0.000177617530303,10,31-75,100.0
5,199,70.0,0.012564823,0.0002028982090909,10,31-75,100.0
5,200,69.0,0.012217937,0.000185137530303,10,31-75,100.0
5,201,68.0,0.012339982,0.0001654782696969,10,31-75,100.0
5,202,67.0,0.012348382,0.0001383555181818,10,31-75,98.72238593398077
5,203,66.0,0.012298152,9.828508181818134e-05,10,31-75,70.07792070555185
5,204,65.0,0.012605699,7.203386969696899e-05,10,31-75,51.31216717128532
5,205,64.0,0.012873895,7.275209999999979e-05,10,31-75,51.825596143070825
5,206,63.0,0.012947345,8.743941515151649e-05,10,31-75,62.32486508885589
5,207,62.0,0.013142379,0.0001070533060606,10,31-75,76.34591070565745
5,208,61.0,0.013654294,0.0001284680848484,10,31-75,91.65432613680493
5,209,60.0,0.014218165,0.000202351490909,10,31-75,100.0
5,210,59.0,0.014671476,0.0002577947090909,10,31-75,100.0
5,211,58.0,0.015002128,0.0003096699575757,10,31-75,100.0
5,212,57.0,0.01570188,0.000368005060606,10,31-75,100.0
5,213,56.0,0.01575312,0.0003851379454545,10,31-75,100.0
5,214,55.0,0.01619198,0.0004048333818181,10,31-75,100.0
5,215,54.0,0.016905557,0.000437860860606,10,31-75,100.0
5,216,53.0,0.017326728,0.0004498893393939,10,31-75,100.0
5,217,52.0,0.017842151,0.0004499506363636,10,31-75,100.0
5,218,51.0,0.018387191,0.0004569021212121,10,31-75,100.0
5,219,50.0,0.018613502,0.0004564207939393,10,31-75,100.0
5,220,49.0,0.01865049,0.0004349009151515,10,31-75,100.0
5,221,48.0,0.018971814,0.0004047207939393,10,31-75,100.0
5,222,47.0,0.019744262,0.0004152069272727,10,31-75,100.0
5,223,46.0,0.020190725,0.0004044630181818,10,31-75,100.0
5,224,45.0,0.021175833,0.0004229204545454,10,31-75,100.0
5,225,44.0,0.021565014,0.0004497674060606,10,31-75,100.0
5,226,43.0,0.021797825,0.0004609129393939,10,31-75,100.0
5,227,42.0,0.023067683,0.0005214898727272,10,31-75,100.0
5,228,41.0,0.023978833,0.0006047621151515,10,31-75,100.0
5,229,40.0,0.024192933,0.000647022460606,10,31-75,100.0
5,230,39.0,0.02531794,0.0006854832242424,10,31-75,100.0
5,231,38.0,0.026453692,0.0007264981212121,10,31-75,100.0
5,232,37.0,0.027869452,0.0008055433939393,10,31-75,100.0
5,233,36.0,0.029299667,0.0008938774424242,10,31-75,100.0
5,234,35.0,0.029964678,0.0009737472666666,10,31-75,100.0
5,235,34.0,0.03120158,0.0010404984181818,10,31-75,100.0
5,236,33.0,0.032754045,0.0010906433515151,10,31-75,100.0
5,237,32.0,0.03467526,0.0011974363636363,10,31-75,100.0
5,238,31.0,0.0354076,0.0012642206242424,10,31-75,100.0
5,239,30.0,0.036452573,0.0012637462363636,10,0-30,100.0
5,240,29.0,0.038706027,0.001312586290909,10,0-30,100.0
5,241,28.0,0.04043558,0.0013692025575757,10,0-30,100.0
5,242,27.0,0.042779904,0.0014785976121212,10,0-30,100.0
5,243,26.0,0.045008324,0.0016241577636363,10,0-30,100.0
5,244,25.0,0.047269616,0.0017469872181818,10,0-30,100.0
5,245,24.0,0.04887807,0.0018302538363636,10,0-30,100.0
5,246,23.0,0.05184794,0.0019647505454545,10,0-30,100.0
5,247,22.0,0.05422773,0.002125693830303,10,0-30,100.0
5,248,21.0,0.05727262,0.0022645450545454,10,0-30,100.0
5,249,20.0,0.06025715,0.0023708231454545,10,0-30,100.0
5,250,19.0,0.063791744,0.0025315872121212,10,0-30,100.0
