unit_number,ciclo_atual,ciclos_disponiveis,rul_estimado,rul_pred_raw,rul_score,erro_reconstrucao,anomaly_score,anomalia_detectada,trend_slope,trend_score,health_score,health_status,priority_score,priority_class,status_pipeline,mensagem,interpretacao_anomalia,rul_real,erro_rul,erro_abs_rul
17,165,165,50.47502136230469,50.47502136230469,40.38001708984375,0.013464699499309063,51.23580154687632,True,0.00024976625361225756,100.0,36.41905986718717,RISCO,60.80827007695322,P2_ALTA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,50,0.4750213623046875,0.4750213623046875
18,133,133,28.783315658569336,28.783315658569336,23.026652526855468,0.014652449637651443,51.86790087880856,True,0.0001651048773165907,100.0,25.84901629641114,CRITICO,76.12663834227783,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,28,0.7833156585693359,0.7833156585693359
19,135,135,107.95622253417969,107.95622253417969,86.36497802734375,0.01038659829646349,16.19646137536977,False,-9.925059522643296e-05,0.0,87.7698714725638,SAUDAVEL,13.21355393909023,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,87,20.956222534179688,20.956222534179688
20,184,184,16.478975296020508,16.478975296020508,13.183180236816405,0.016025710850954056,52.59872587934991,True,0.00044777602183096053,100.0,19.760226672252365,CRITICO,84.84370583255279,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,16,0.4789752960205078,0.4789752960205078
21,148,148,89.12885284423828,89.12885284423828,71.30308227539062,0.012414788827300072,50.67705790800661,True,0.00011450854327642512,81.67530820112076,57.8612886580646,RISCO,32.729455809807185,P3_MEDIA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,57,32.12885284423828,32.12885284423828
22,39,39,123.00643920898438,123.00643920898438,98.4051513671875,0.010041384026408195,0.7598601644920511,False,-2.2929325474030994e-05,0.0,98.85312577918948,SAUDAVEL,1.4604563092119052,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,111,12.006439208984375,12.006439208984375
23,130,130,120.43136596679688,120.43136596679688,96.3450927734375,0.009172320365905762,0.0,False,3.532244061881834e-05,25.068897839938924,94.04672098807166,SAUDAVEL,4.344418762172253,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,113,7.431365966796875,7.431365966796875
24,186,186,19.875347137451172,19.875347137451172,15.900277709960939,0.0762077122926712,84.62650821978798,True,0.0039648503065109275,100.0,13.383539571029567,CRITICO,84.85474373171847,P1_IMEDIATA,ANALISE_COMPLETA,,Desvio severo do padrão saudável aprendido pelo Autoencoder.,20,-0.12465286254882812,0.12465286254882812
25,48,48,110.70331573486328,110.70331573486328,88.56265258789062,0.010682465508580208,29.426459556176162,False,-2.4409975969430255e-05,0.0,85.78097666369032,SAUDAVEL,12.271850189369465,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,145,-34.29668426513672,34.29668426513672
26,76,76,115.24520874023438,115.24520874023438,92.1961669921875,0.010257312096655369,10.415299698049328,False,3.926522013815947e-05,27.887404976229302,88.53076452436578,SAUDAVEL,8.903453748159016,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,119,-3.754791259765625,3.754791259765625
27,140,140,99.89642333984375,99.89642333984375,79.917138671875,0.009733538143336773,0.0,False,-4.79402077017407e-05,0.0,87.950283203125,SAUDAVEL,17.672917968750003,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,66,33.89642333984375,33.89642333984375
28,158,158,105.51372528076172,105.51372528076172,84.41098022460938,0.01094815880060196,41.30720073378774,False,-3.731251891815314e-05,0.0,80.31978795131869,SAUDAVEL,16.81637745737783,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,97,8.513725280761719,8.513725280761719
29,171,171,103.18956756591797,103.18956756591797,82.55165405273438,0.010310348123311996,12.786858652366911,False,1.936355097727809e-06,1.2027597938228594,86.15386379947547,SAUDAVEL,16.367683023243295,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,90,13.189567565917969,13.189567565917969
30,143,143,106.28102111816406,106.28102111816406,85.02481689453126,0.011318293400108814,50.09352269751054,True,3.842248609571703e-05,27.284974152753843,74.39876333942804,ATENCAO,18.162999171999708,P4_BAIXA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,115,-8.718978881835938,8.718978881835938
31,196,196,8.8827543258667,8.8827543258667,7.10620346069336,0.02549705095589161,57.63920329928044,True,0.000781319448442174,100.0,14.853921251595906,CRITICO,90.56948120203586,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,8,0.8827543258666992,0.8827543258666992
32,145,145,46.9632568359375,46.9632568359375,37.57060546875,0.014138689264655113,51.59448681800495,True,0.00024237967463153738,100.0,34.643741576748766,RISCO,63.30745369885037,P2_ALTA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,48,-1.0367431640625,1.0367431640625
33,50,50,111.35872650146484,111.35872650146484,89.08698120117188,0.012375843711197376,50.65633201534968,True,-6.753928733594416e-06,0.0,80.7881057168657,SAUDAVEL,13.402681444119972,P4_BAIXA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,106,5.358726501464844,5.358726501464844
34,203,203,3.248213768005371,3.248213768005371,2.5985710144042966,0.018893936648964882,54.12514423303135,True,0.0006002872787190272,100.0,13.02785655038474,CRITICO,94.27264332480155,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,7,-3.751786231994629,3.751786231994629
35,198,198,11.082690238952637,11.082690238952637,8.86615219116211,0.02164379134774208,55.58856760962941,True,0.0005721340238144877,100.0,16.422549412289914,CRITICO,88.86692864249954,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,11,0.08269023895263672,0.08269023895263672
36,126,126,20.674863815307617,20.674863815307617,16.539891052246094,0.01368781179189682,51.354537909464675,True,0.0002014292629830758,100.0,22.085300153981485,CRITICO,81.7964862172333,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,19,1.6748638153076172,1.6748638153076172
37,121,121,27.020904541015625,27.020904541015625,21.6167236328125,0.014686590991914272,51.88607029552689,True,0.00015825065360827836,100.0,24.998516605805776,CRITICO,77.36873847528952,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,21,6.020904541015625,6.020904541015625
38,125,125,56.83452606201172,56.83452606201172,45.467620849609375,0.012274287641048431,50.60228569531776,True,9.664902745774291e-05,68.90838259984888,44.29374369595885,RISCO,54.884542296485776,P2_ALTA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,50,6.834526062011719,6.834526062011719
39,37,37,122.96012878417969,122.96012878417969,98.36810302734375,0.00947190448641777,0.0,False,,,,,,,ANALISE_PARCIAL,RUL e anomalia disponíveis. Histórico insuficiente para Trend Score de 10 janelas. Health Score e prioridade ainda não são calculados.,Comportamento próximo do padrão saudável aprendido.,142,-19.039871215820312,19.039871215820312
40,133,133,34.856727600097656,34.856727600097656,27.885382080078124,0.01325930655002594,51.12649510115648,True,0.00012345847419717082,88.07319173624752,30.738626712320624,RISCO,71.25864453024911,P2_ALTA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,28,6.856727600097656,6.856727600097656
41,123,123,24.063940048217773,24.063940048217773,19.25115203857422,0.01540681067854166,52.269358302040594,True,0.00012208999445041045,87.0949301030032,25.419112132183905,CRITICO,78.89845993334288,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,18,6.063940048217773,6.063940048217773
42,156,156,8.832989692687988,8.832989692687988,7.0663917541503904,0.017836127430200577,53.562197129168375,True,0.0004121800715273091,100.0,15.84928577019814,CRITICO,90.29874004103529,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,10,-1.1670103073120117,1.1670103073120117
43,172,172,66.92694091796875,66.92694091796875,53.541552734374996,0.009477267973124981,0.0,False,-2.6528497762752543e-05,0.0,72.124931640625,ATENCAO,40.88343359375,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,59,7.92694091796875,7.92694091796875
44,54,54,100.76469421386719,100.76469421386719,80.61175537109375,0.011736073531210423,50.31585779412643,True,-1.6727851647319621e-06,0.0,75.78808877412465,ATENCAO,20.83534460799698,P3_MEDIA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,109,-8.235305786132812,8.235305786132812
45,152,152,75.04521942138672,75.04521942138672,60.03617553710937,0.009516234509646893,0.0,False,2.946571418733296e-05,20.882200318186424,72.88937527453766,ATENCAO,36.10786454166214,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,114,-38.95478057861328,38.95478057861328
46,146,146,41.0074577331543,41.0074577331543,32.80596618652344,0.011972696520388126,50.44178430724625,True,-0.00010276938591039459,0.0,47.0731336351025,RISCO,62.91388357890283,P2_ALTA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,47,-5.992542266845703,5.992542266845703
47,73,73,112.83846282958984,112.83846282958984,90.27077026367188,0.010369696654379368,15.440687552289438,False,1.3935644969795499e-05,9.780486235014086,88.83521733487865,SAUDAVEL,10.159895614966091,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,135,-22.161537170410156,22.161537170410156
48,78,78,103.85371398925781,103.85371398925781,83.08297119140626,0.009217532351613045,0.0,False,-0.00011767132602857777,0.0,89.84978271484376,SAUDAVEL,14.886985351562492,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,92,11.853713989257812,11.853713989257812
49,303,303,16.428503036499023,16.428503036499023,13.142802429199218,0.014318027533590794,51.68992742990194,True,0.00019610934523921967,100.0,19.963199600044046,CRITICO,84.81107841954733,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,21,-4.571496963500977,4.571496963500977
50,74,74,95.50922393798828,95.50922393798828,76.40737915039062,0.009790935553610325,0.0,False,0.00012187248829639323,86.93944521111986,72.8035107085664,ATENCAO,24.67378138215664,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,79,16.50922393798828,16.50922393798828
51,144,144,102.35133361816406,102.35133361816406,81.88106689453124,0.010007012635469437,0.0,False,9.131758953585816e-06,6.3464146740267875,88.17667793561472,SAUDAVEL,16.230249793143713,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,114,-11.648666381835938,11.648666381835938
52,189,189,27.04998016357422,27.04998016357422,21.639984130859375,0.02288895472884178,56.251221240163225,True,0.0008294850362069754,100.0,23.921185168474818,CRITICO,77.67565555785599,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,29,-1.9500198364257812,1.9500198364257812
53,164,164,28.89559555053711,28.89559555053711,23.116476440429686,0.021585900336503983,55.55775905120688,True,0.0008479497197902575,100.0,24.980446101456092,CRITICO,76.32433266126239,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,26,2.8955955505371094,2.8955955505371094
54,121,121,116.57118225097656,116.57118225097656,93.25694580078125,0.010222487151622772,8.858067464941396,False,-2.214069845098451e-05,0.0,93.7396506142334,SAUDAVEL,6.5982427551831035,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,97,19.571182250976562,19.571182250976562
55,113,113,119.97837829589844,119.97837829589844,95.98270263671876,0.010206855833530426,8.15909744915011,False,2.97425597003012e-05,21.080104119330585,92.38783160184414,SAUDAVEL,5.095758673743628,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,137,-17.021621704101562,17.021621704101562
56,136,136,16.63608169555664,16.63608169555664,13.308865356445313,0.01645105704665184,52.82508749991407,True,0.00027666794644160735,100.0,19.77904733888867,CRITICO,84.75008004882167,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,15,1.6360816955566406,1.6360816955566406
57,160,160,108.30450439453125,108.30450439453125,86.643603515625,0.01066947914659977,28.845761397203706,False,7.716085987560632e-05,54.97721066035031,76.52814016102153,ATENCAO,16.39103549075604,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,103,5.30450439453125,5.30450439453125
58,176,176,42.02649688720703,42.02649688720703,33.62119750976563,0.01091623492538929,39.87969273800046,False,-1.1531912693471973e-05,0.0,50.20279532135926,RISCO,61.404323146756276,P2_ALTA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,37,5.026496887207031,5.026496887207031
59,94,94,108.78291320800781,108.78291320800781,87.02633056640624,0.010189959779381752,7.40357349618982,False,3.519885129097795e-05,24.980549657957475,86.61782251710267,SAUDAVEL,13.096221848384827,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,114,-5.2170867919921875,5.2170867919921875
60,147,147,106.31964111328125,106.31964111328125,85.055712890625,0.011084743775427341,47.41473443290014,False,7.002667495698586e-05,49.877318311283034,71.69814637945751,ATENCAO,18.951557062725243,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,100,6.31964111328125,6.31964111328125
61,159,159,18.036630630493164,18.036630630493164,14.42930450439453,0.013529378920793533,51.270222775542436,True,0.00018898513393871824,100.0,20.840027008751107,CRITICO,83.6474787442985,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,21,-2.963369369506836,2.963369369506836
62,232,232,34.62825012207031,34.62825012207031,27.702600097656248,0.013717792928218842,51.37049333277127,True,0.00025592910295182915,100.0,28.778936725400932,CRITICO,71.97449891402034,P2_ALTA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,54,-19.371749877929688,19.371749877929688
63,155,155,91.21526336669922,91.21526336669922,72.97221069335937,0.01018393225967884,7.134046926706908,False,-6.035145823702665e-05,0.0,81.9998146843389,SAUDAVEL,24.319508109346767,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,72,19.21526336669922,19.21526336669922
64,168,168,21.193593978881836,21.193593978881836,16.954875183105468,0.011659343726933002,50.27502356775393,True,0.00014440204496636523,100.0,22.6041692179248,CRITICO,81.35033660644872,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,28,-6.806406021118164,6.806406021118164
65,71,71,120.25979614257812,120.25979614257812,96.2078369140625,0.011402872391045094,50.138534120317814,True,4.071959604819636e-05,28.927069725723793,80.85100815949947,SAUDAVEL,8.39921171230641,P4_BAIXA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,128,-7.740203857421875,7.740203857421875
66,147,147,22.328628540039062,22.328628540039062,17.86290283203125,0.04887589067220688,70.08100270555771,True,0.0022399791036591464,100.0,18.197491022829322,CRITICO,82.03672071072933,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,14,8.328628540039062,8.328628540039062
67,71,71,122.17947387695312,122.17947387695312,97.7435791015625,0.010218387469649315,8.674746086872208,False,7.149385796351871e-05,50.926138250077855,88.83854020170776,SAUDAVEL,4.927932568393921,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,77,45.179473876953125,45.179473876953125
68,187,187,6.9202728271484375,6.9202728271484375,5.53621826171875,0.02180417813360691,55.673922581961726,True,0.0007937376359195373,100.0,14.403250311540818,CRITICO,91.80367212333462,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,8,-1.0797271728515625,1.0797271728515625
69,54,54,121.32011413574219,121.32011413574219,97.05609130859375,0.010422536171972752,17.803459407385624,False,-6.991746186307048e-05,0.0,93.78278993330984,SAUDAVEL,3.925899103991422,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,121,0.3201141357421875,0.3201141357421875
70,152,152,90.69322204589844,90.69322204589844,72.55457763671875,0.009836437180638313,0.0,False,-9.408405219966808e-05,0.0,83.53274658203125,SAUDAVEL,24.1519716796875,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,94,-3.3067779541015625,3.3067779541015625
71,68,68,111.57134246826172,111.57134246826172,89.25707397460938,0.010929045267403126,40.45251998819166,False,-4.7431694287241875e-05,0.0,83.44111438771772,SAUDAVEL,12.487713901458115,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,118,-6.428657531738281,6.428657531738281
72,131,131,65.18864440917969,65.18864440917969,52.150915527343756,0.009894154965877533,0.0,False,0.00010002869548219553,71.32434788486789,60.59189713367607,ATENCAO,45.31678999075655,P2_ALTA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,50,15.188644409179688,15.188644409179688
73,112,112,112.89566040039062,112.89566040039062,90.3165283203125,0.009175247512757778,0.0,False,7.91965278260633e-05,56.432413675719374,85.7250549408296,SAUDAVEL,11.06091369353237,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,131,-18.104339599609375,18.104339599609375
74,137,137,106.51615905761719,106.51615905761719,85.21292724609376,0.009573259390890598,0.0,False,-2.908046272667968e-06,0.0,91.12775634765626,SAUDAVEL,13.012624023437493,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,126,-19.483840942382812,19.483840942382812
75,88,88,110.95305633544922,110.95305633544922,88.76244506835937,0.010388816706836224,16.295659813025562,False,3.909110797173932e-06,2.6129898078956657,88.79160361657489,SAUDAVEL,11.228807367175975,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,113,-2.0469436645507812,2.0469436645507812
76,205,205,6.201871871948242,6.201871871948242,4.961497497558594,0.04109076410531998,65.93789790339376,True,0.0020404306325045563,100.0,11.492424022686716,CRITICO,93.07922454490296,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,10,-3.798128128051758,3.798128128051758
77,162,162,27.902984619140625,27.902984619140625,22.3223876953125,0.011483984999358654,50.1817007964319,True,0.00015176096084442957,100.0,25.848007418079526,CRITICO,76.61992638785739,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,34,-6.097015380859375,6.097015380859375
78,72,72,125.0,127.02250671386719,100.0,0.010211124084889889,8.349956575840498,False,-2.5453412848891136e-05,0.0,97.91251085603987,SAUDAVEL,0.6262467431880381,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,107,18.0,18.0
79,101,101,98.76837921142578,98.76837921142578,79.01470336914062,0.009209527634084225,0.0,False,-1.2609932684537947e-05,0.0,87.40882202148437,SAUDAVEL,18.467061035156256,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,63,35.76837921142578,35.76837921142578
80,133,133,100.52806091308594,100.52806091308594,80.42244873046876,0.008447306230664253,0.0,False,5.650785610531618e-06,3.8580309943138635,87.67476458913417,SAUDAVEL,17.40185651193162,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,90,10.528060913085938,10.528060913085938
81,213,213,6.3822832107543945,6.3822832107543945,5.105826568603516,0.022346338257193565,55.962450480933555,True,0.0006723674973755102,100.0,14.072883320928721,CRITICO,92.2040564056989,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,8,-1.6177167892456055,1.6177167892456055
82,162,162,5.886234283447266,5.886234283447266,4.708987426757813,0.016676228493452072,52.944919707461764,True,0.00044943405823274016,100.0,14.589162529189247,CRITICO,92.32696004251275,P1_IMEDIATA,ANALISE_COMPLETA,,Comportamento anômalo detectado em relação ao padrão saudável.,9,-3.1137657165527344,3.1137657165527344
83,73,73,125.0,125.014404296875,100.0,0.010160405188798904,6.082010431299409,False,-5.713219218181833e-05,0.0,98.47949739217515,SAUDAVEL,0.45615078234745565,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,137,-12.0,12.0
84,172,172,78.64688110351562,78.64688110351562,62.9175048828125,0.011014865711331367,44.29006693678265,False,0.00013760734688151858,98.1875535552828,51.94985316219942,RISCO,40.37279063337142,P3_MEDIA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,58,20.646881103515625,20.646881103515625
85,34,34,123.56216430664062,123.56216430664062,98.8497314453125,0.009850489906966686,0.0,False,,,,,,,ANALISE_PARCIAL,RUL e anomalia disponíveis. Histórico insuficiente para Trend Score de 10 janelas. Health Score e prioridade ainda não são calculados.,Comportamento próximo do padrão saudável aprendido.,118,5.562164306640625,5.562164306640625
86,110,110,114.35111236572266,114.35111236572266,91.48088989257812,0.01066812127828598,28.78504295803404,False,1.1081875047900428e-05,7.740460702078325,86.5312040907266,SAUDAVEL,10.004015847977335,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,89,25.351112365722656,25.351112365722656
87,56,56,115.67927551269531,115.67927551269531,92.54342041015626,0.010347492061555386,14.447786985291355,False,7.46215044549016e-05,53.161945226479446,83.93981371579899,SAUDAVEL,10.037661598150923,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,116,-0.3207244873046875,0.3207244873046875
88,68,68,113.77182006835938,113.77182006835938,91.0174560546875,0.009499720297753811,0.0,False,-9.82719896869224e-05,0.0,94.6104736328125,SAUDAVEL,7.904638671875,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,115,-1.228179931640625,1.228179931640625
89,177,177,111.19160461425781,111.19160461425781,88.95328369140626,0.010440708138048649,18.616037037754996,False,-4.2207347172679484e-05,0.0,88.717960955405,SAUDAVEL,11.11731312939412,P4_BAIXA,ANALISE_COMPLETA,,Comportamento próximo do padrão saudável aprendido.,136,-24.808395385742188,24.808395385742188
